Model Name,Price,CC,Mileage,Weight,Links
TVS Apache RTR 200 4V,"₹ 1,29,315",197.8 CC,32 Km/l,149 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-200-4v
Kawasaki Z1000,"₹ 15,10,000",1043.0 CC,15 Km/l,221 Kg,https://www.carandbike.com/kawasaki-bikes/z1000
Gravton Motors Quanta,"₹ 99,000",NA,320 Km/Full Charge,100 Kg,https://www.carandbike.com/gravton-motors-bikes/quanta
Kawasaki Z250,"₹ 3,08,000",249.0 CC,26 Km/l,168 Kg,https://www.carandbike.com/kawasaki-bikes/z250
BMW G 310 GS,"₹ 2,90,000",313.0 CC,30 Km/l,169 Kg,https://www.carandbike.com/bmw-bikes/g-310-gs
Benelli Imperiale 400,"₹ 1,89,799",374.0 CC,31.25 Km/l,205 Kg,https://www.carandbike.com/benelli-bikes/imperiale-400
Husqvarna Vitpilen 250,"₹ 2,15,000",248.8 CC,35 Km/l,152 Kg,https://www.carandbike.com/husqvarna-bikes/vitpilen-250
MV Agusta F3 800 RC,"₹ 21,49,086",798.0 CC,14 Km/l,173 Kg,https://www.carandbike.com/mv-agusta-bikes/f3-800-rc
Yezdi Scrambler,"₹ 2,04,900",334.0 CC,N/A,182 Kg,https://www.carandbike.com/yezdi-bikes/scrambler
Yamaha FZS 25,"₹ 1,43,300",249.0 CC,43 Km/l,154 Kg,https://www.carandbike.com/yamaha-bikes/fzs-25
BMW R 1200,"₹ 15,85,000",1170.0 CC,18 - 24 Km/l,244 Kg,https://www.carandbike.com/bmw-bikes/r-1200
Harley-Davidson Fat Boy,"₹ 18,25,000",1868.0 CC,15 Km/l,304 Kg,https://www.carandbike.com/harley-davidson-bikes/fat-boy
BMW K 1600,"₹ 28,30,000",1649.0 CC,15 Km/l,350 Kg,https://www.carandbike.com/bmw-bikes/k-1600
Honda CB300R,"₹ 2,77,000",286.0 CC,30.2 Km/l,146 Kg,https://www.carandbike.com/honda-bikes/cb300r
Hero Electric Atria LX,"₹ 66,640",NA,85 Km/Full Charge,69 Kg,https://www.carandbike.com/hero-electric-bikes/atria-lx
Triumph Tiger 1200,"₹ 19,19,000",1160.0 CC,18 Km/l,245 Kg,https://www.carandbike.com/triumph-bikes/tiger-1200
Harley-Davidson Iron 883,"₹ 9,38,000",883.0 CC,20 Km/l,256 Kg,https://www.carandbike.com/harley-davidson-bikes/iron-883
Yezdi Adventure,"₹ 2,09,900",334.0 CC,N/A,188 Kg,https://www.carandbike.com/yezdi-bikes/adventure
Hero Electric Flash LX,"₹ 59,640",NA,85 Km/Full Charge,69 Kg,https://www.carandbike.com/hero-electric-bikes/flash-lx
Kawasaki Ninja ZX-10RR,"₹ 16,98,000",998.0 CC,15 Km/l,206 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10rr
KTM 250 Adventure,"₹ 2,42,000",248.0 CC,35 Km/l,177 Kg,https://www.carandbike.com/ktm-bikes/250-adventure
JAWA 300,"₹ 1,80,415",293.0 CC,37.5 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/300
Harley-Davidson CVO Limited,"₹ 49,99,000",1923.0 CC,8 Km/l,411 Kg,https://www.carandbike.com/harley-davidson-bikes/cvo-limited
Honda CRF1000L Africa Twin,"₹ 13,50,000",999.1 CC,16 Km/l,243 Kg,https://www.carandbike.com/honda-bikes/crf1000l-africa-twin
Okinawa Okhi 90,"₹ 1,03,866",NA,160 Km/Full Charge,96 Kg,https://www.carandbike.com/okinawa-bikes/okhi-90
Kawasaki Ninja ZX-6R,"₹ 10,49,000",636.0 CC,23.59 Km/l,196 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-6r
Ducati Panigale V4,"₹ 23,50,000",1103.0 CC,14.5 Km/l,195 Kg,https://www.carandbike.com/ducati-bikes/panigale-v4
Honda CBR650R,"₹ 9,35,000",648.7 CC,25 Km/l,211 Kg,https://www.carandbike.com/honda-bikes/cbr650r
BMW R 1250 GS Adventure,"₹ 22,40,000",1254.0 CC,21 Km/l,268 Kg,https://www.carandbike.com/bmw-bikes/r-1250-gs-adventure
